Rank,trackName,play_count
1,we can't be friends (wait for your love),263
2,Delilah (pull me out of this),245
3,BIRDS OF A FEATHER,209
4,Espresso,157
5,Lost,154
6,Nothing Sweeter,151
7,i wish i hated you,149
8,MILLION DOLLAR BABY,142
9,Moonlight,141
10,intro (end of the world),138
11,STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),129
12,Tummy Hurts,126
13,Perfect Night,123
14,Addicted,122
15,places to be,118
16,Cheerleader,115
17,imperfect for you,111
18,eternal sunshine,108
19,Don't Know Why,105
20,Drop It Down,105
21,Juno,97
22,Not Like Us,92
23,Bed Chem,88
24,next door (feat. ASTN),88
25,Rumble,87
26,bye,86
27,Saturn,84
28,Please Please Please,83
29,ordinary things (feat. Nonna),83
30,Assume The Position,82
31,Apple featuring the japanese house,81
32,Soul Tied,79
33,Tell Ur Girlfriend,79
34,Trouble,78
35,I Like U,78
36,7PM,78
37,Waterfall,76
38,I Had Some Help (Feat. Morgan Wallen),75
39,the boy is mine,73
40,In The Night,72
41,Back To U,72
42,"yes, and?",72
43,Dream Girl,71
44,Spite,71
45,Everywhere,70
46,XO,70
47,Kiss Me,70
48,Cool,70
49,Where You Are,70
50,Magnetic,70
51,Breakfast in Bed,70
52,Tip Toe,69
53,Sugar Don't Be Sweet,67
54,My Girl,67
55,Please Don't Fall In Love With Me,67
56,Go Back (feat. Julia Church),64
57,Space Makes Me Sad,64
58,supernatural,63
59,Calling After Me,63
60,LANSDOWNE,62
61,In The Yuma (feat. Aatig),60
62,Miss Independent,59
63,Hell N Back (feat. Summer Walker),59
64,we're all eating each other,59
65,lowkey,59
66,Everything You Have Done,58
67,Love Me Like That,58
68,Sunflower - Spider-Man: Into the Spider-Verse,58
69,My Love Mine All Mine,57
70,don't wanna break up again,57
71,CHIHIRO,57
72,Rock Ur World,57
73,Nonsense,56
74,Best Time,56
75,Lose Control,56
76,I Wish That You Would,56
77,FAMJAM4000,55
78,Feel It - From The Original Series “Invincible”,55
79,Love I,55
80,Lie To Girls,54
81,Beggin',54
82,"She’s Gone, Dance On",54
83,Can You Love Me Tonight?,54
84,Whatever She Wants,53
85,DEVIL IS A LIE,53
86,Losing Control,53
87,Black Friday (pretty like the sun),52
88,Nasty,52
89,North Star,51
90,She's Gone,51
91,Die With A Smile,51
92,Echo,51
93,Wake Up,51
94,Hard Part's Over,51
95,Time,50
96,The Chase,50
97,true story,50
98,Cigarette Daydreams,50
99,Eternal Sunshine,50
100,Fool For You,49
